0	26.71	0	0	6.83688	3.79085	4.44898	1.28806	1.15331	2.81159	3.31555	2.33482	6.48234	1.98907	5.77169	1.11219	7.98286	2.20781	0.0298321	2.01924	6.34405	2.2143	7.24688	1.87535	10	-0.1
0.03	26.71	0	0	4.37697	1.17562	3.3851	2.70653	5.04616	3.88296	5.11448	0.842515	0.834609	1.38765	-6.24567	2.17405	-2.75266	2.22074	5.04302	2.39362	6.41048	2.2143	7.30314	1.87535	9.997	-0.1
0.06	26.71	0	0	4.41224	1.17562	0.560018	1.46228	3.8668	-0.115655	-6.52694	1.35929	-0.0578817	2.48834	3.12769	3.00727	8.06074	2.23246	5.11482	2.39362	6.47691	2.2143	7.3594	1.87535	9.994	-0.1
0.09	26.71	0	0	4.44751	1.17562	0.603887	1.46228	3.86333	-0.115655	-6.48616	1.35929	0.0167685	2.48834	3.2179	3.00727	8.12771	2.23246	5.18663	2.39362	6.54333	2.2143	7.41566	1.87535	9.991	-0.1
0.12	26.71	0	0	4.48278	1.17562	0.647755	1.46228	3.85986	-0.115655	-6.44538	1.35929	0.0914186	2.48834	3.30812	3.00727	8.19468	2.23246	5.25844	2.39362	6.60976	2.2143	7.47192	1.87535	9.988	-0.1
0.15	26.71	0	0	4.51804	1.17562	0.691624	1.46228	3.85639	-0.115655	-6.4046	1.35929	0.166069	2.48834	3.39834	3.00727	8.26166	2.23246	5.33025	2.39362	6.67619	2.2143	7.52818	1.87535	9.985	-0.1
0.18	26.71	0	0	4.55331	1.17562	0.735492	1.46228	3.85292	-0.115655	-6.36382	1.35929	0.240719	2.48834	3.48856	3.00727	8.32863	2.23246	5.40206	2.39362	6.74262	2.2143	7.58445	1.87535	9.982	-0.1
0.21	26.71	0	0	4.58858	1.17562	0.779361	1.46228	3.84945	-0.115655	-6.32304	1.35929	0.315369	2.48834	3.57878	3.00727	8.39561	2.23246	5.47387	2.39362	6.80905	2.2143	7.64071	1.87535	9.979	-0.1
0.24	26.71	0	0	4.62385	1.17562	0.823229	1.46228	3.84598	-0.115655	-6.28226	1.35929	0.390019	2.48834	3.66899	3.00727	8.46258	2.23246	5.54568	2.39362	6.87548	2.2143	7.69697	1.87535	9.976	-0.1
0.27	26.71	0	0	4.65912	1.17562	0.867098	1.46228	3.84251	-0.115655	-6.24148	1.35929	0.464669	2.48834	3.75921	3.00727	8.52955	2.23246	5.61748	2.39362	6.94191	2.2143	7.75323	1.87535	9.973	-0.1
0.3	26.71	0	0	4.69439	1.17562	0.910966	1.46228	3.83904	-0.115655	-6.2007	1.35929	0.53932	2.48834	3.84943	3.00727	8.59653	2.23246	5.68929	2.39362	7.00834	2.2143	7.80949	1.87535	9.97	-0.1
0.33	26.71	0	0	4.72966	1.17562	0.954835	1.46228	3.83557	-0.115655	-6.15993	1.35929	0.61397	2.48834	3.93965	3.00727	8.6635	2.23246	5.7611	2.39362	7.07477	2.2143	7.86575	1.87535	9.967	-0.1
0.36	26.71	0	0	4.76493	1.17562	0.998703	1.46228	3.8321	-0.115655	-6.11915	1.35929	0.68862	2.48834	4.02987	3.00727	8.73048	2.23246	5.83291	2.39362	7.1412	2.2143	7.92201	1.87535	9.964	-0.1
0.39	26.71	0	0	4.80019	1.17562	1.04257	1.46228	3.82863	-0.115655	-6.07837	1.35929	0.76327	2.48834	4.12009	3.00727	8.79745	2.23246	5.90472	2.39362	7.20762	2.2143	7.97827	1.87535	9.961	-0.1
0.42	26.71	0	0	4.83546	1.17562	1.08644	1.46228	3.82517	-0.115655	-6.03759	1.35929	0.83792	2.48834	4.2103	3.00727	8.86442	2.23246	5.97653	2.39362	7.27405	2.2143	8.03453	1.87535	9.958	-0.1
0.45	26.71	0	0	4.87073	1.17562	1.13031	1.46228	3.8217	-0.115655	-5.99681	1.35929	0.91257	2.48834	4.30052	3.00727	8.9314	2.23246	6.04834	2.39362	7.34048	2.2143	8.09079	1.87535	9.955	-0.1
0.48	26.71	0	0	4.906	1.17562	1.17418	1.46228	3.81823	-0.115655	-5.95603	1.35929	0.98722	2.48834	4.39074	3.00727	8.99837	2.23246	6.12014	2.39362	7.40691	2.2143	8.14705	1.87535	9.952	-0.1
0.51	26.71	0	0	4.94127	1.17562	1.21805	1.46228	3.81476	-0.115655	-5.91525	1.35929	1.06187	2.48834	4.48096	3.00727	9.06534	2.23246	6.19195	2.39362	7.47334	2.2143	8.20331	1.87535	9.949	-0.1
0.54	26.71	0	0	4.97654	1.17562	1.26191	1.46228	3.81129	-0.115655	-5.87447	1.35929	1.13652	2.48834	4.57118	3.00727	9.13232	2.23246	6.26376	2.39362	7.53977	2.2143	8.25957	1.87535	9.946	-0.1
0.57	26.71	0	0	5.01181	1.17562	1.30578	1.46228	3.80782	-0.115655	-5.8337	1.35929	1.21117	2.48834	4.66139	3.00727	9.19929	2.23246	6.33557	2.39362	7.6062	2.2143	8.31583	1.87535	9.943	-0.1
0.6	26.71	0	0	5.04707	1.17562	1.34965	1.46228	3.80435	-0.115655	-5.79292	1.35929	1.28582	2.48834	4.75161	3.00727	9.26627	2.23246	6.40738	2.39362	7.67263	2.2143	8.37209	1.87535	9.94	-0.1
0.63	26.71	0	0	5.08234	1.17562	1.39352	1.46228	3.80088	-0.115655	-5.75214	1.35929	1.36047	2.48834	4.84183	3.00727	9.33324	2.23246	6.47919	2.39362	7.73906	2.2143	8.42835	1.87535	9.937	-0.1
